id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero
105,Claudia,4061,48,Baja,En observacion
106,Carlos,2778,45,Media,En observacion
107,Laura,3599,61,Media,En observacion
108,Miguel,700,7,Baja,En observacion
109,Laura,5375,42,Baja,En observacion
110,Valentina,3604,19,Ninguna,En observacion
111,Juan,5098,89,Alta,En observacion
112,Carlos,2954,38,Baja,En observacion
113,Claudia,4145,84,Alta,En observacion
114,Juan,1304,48,Media,En riesgo
115,Carlos,3231,63,Media,En riesgo
116,Carlos,3273,61,Media,En riesgo
117,Luis,2070,53,Media,En observacion
118,Alejandro,5556,8,Ninguna,En observacion
119,Juan,3190,87,Alta,En observacion
120,Ana,4340,36,Baja,En observacion
121,Ana,1528,48,Media,En riesgo
122,Martin,1002,40,Alta,En observacion
123,Elena,4993,16,Alta,Saludable
124,Valentina,1370,87,Ninguna,En riesgo
125,Juan,4988,20,Ninguna,En observacion
126,Marta,706,50,Ninguna,En riesgo
127,Carlos,5634,58,Ninguna,En riesgo
128,Diego,1984,38,Media,En observacion
129,Ana,1363,54,Media,En riesgo
130,Luis,3290,40,Baja,En riesgo
131,Jose,1063,38,Media,En observacion
132,Diego,5616,12,Media,Saludable
133,Carlos,4691,63,Media,En observacion
134,Lucia,2257,10,Media,Saludable
135,Jose,2178,18,Media,Saludable
136,Diego,3742,10,Alta,Saludable
137,Miguel,5136,76,Media,En observacion
138,Carlos,1559,45,Media,En riesgo
139,Juan,5779,44,Media,En observacion
140,Camila,2222,0,Media,Saludable
141,Alejandro,3814,39,Baja,En observacion
142,Elena,3657,18,Alta,Saludable
143,Martin,3125,75,Media,En riesgo
144,Elena,3229,71,Baja,En riesgo
145,Martin,2097,71,Media,En riesgo
146,Elena,3560,60,Media,En observacion
147,Claudia,3193,11,Baja,En observacion
148,Marta,5391,60,Media,En observacion
149,Juan,5647,32,Baja,En observacion
150,Jorge,4127,44,Baja,En observacion
151,Lucia,1863,89,Baja,En riesgo
152,Martin,2481,68,Media,En riesgo
153,Claudia,5950,7,Alta,Saludable
154,Alejandro,2163,24,Media,En observacion
155,Lucia,2029,45,Media,En observacion
156,Pedro,2538,86,Media,En riesgo
157,Juan,3802,29,Media,En observacion
158,Juan,2737,46,Media,En observacion
159,Luis,5996,86,Alta,En observacion
160,Lucia,1806,48,Media,En riesgo
161,Marta,4529,46,Media,En observacion
162,Marta,3175,83,Baja,En riesgo
163,Elena,5568,81,Alta,En observacion
164,Juan,1782,17,Media,En observacion
165,Jorge,1209,65,Ninguna,En riesgo
166,Camila,5244,67,Alta,En observacion
167,Laura,4913,32,Media,En observacion
168,Laura,4248,35,Alta,Saludable
169,Diego,5853,81,Baja,En riesgo
170,Jorge,5279,18,Media,Saludable
171,Carlos,1163,27,Media,En observacion
172,Valentina,2498,39,Media,En observacion
173,Camila,3945,83,Ninguna,En riesgo
174,Maria,4243,75,Alta,En observacion
175,Martin,1995,14,Alta,Saludable
176,Alejandro,3804,40,Ninguna,En riesgo
177,Jorge,4263,38,Media,En observacion
178,Jorge,5732,1,Ninguna,En observacion
179,Juan,2353,62,Media,En riesgo
180,Maria,5159,28,Baja,En observacion
181,Juan,1791,73,Media,En riesgo
182,Luis,4081,65,Baja,En riesgo
183,Carlos,3957,50,Ninguna,En riesgo
184,Pedro,2136,74,Media,En riesgo
185,Jorge,4196,76,Alta,En observacion
186,Valentina,3499,9,Media,Saludable
187,Pedro,3652,13,Alta,Saludable
188,Juan,1198,81,Media,En riesgo
189,Luis,2660,50,Media,En observacion
190,Martin,4597,72,Media,En observacion
191,Sofia,5237,38,Media,En observacion
192,Miguel,1354,27,Media,En observacion
193,Camila,3974,2,Baja,Saludable
194,Ana,5749,83,Alta,En observacion
195,Maria,5672,69,Alta,En observacion
196,Luis,2207,26,Alta,En observacion
197,Juan,3277,1,Media,Saludable
198,Luis,2233,37,Media,En observacion
199,Lucia,5431,2,Media,Saludable
200,Maria,4010,15,Media,Saludable
201,Juan,702,39,Baja,En riesgo
202,Ana,3755,1,Alta,Saludable
203,Pedro,4718,80,Baja,En riesgo
204,Juan,4996,40,Baja,En observacion
205,Juan,1266,11,Baja,En observacion
206,Sofia,4889,34,Ninguna,En observacion
207,Camila,2827,64,Alta,En observacion
208,Marta,3431,54,Alta,En observacion
209,Jorge,697,44,Ninguna,En riesgo
210,Valentina,2430,78,Media,En riesgo
211,Camila,4082,89,Media,En observacion
212,Laura,1108,84,Baja,En riesgo
213,Claudia,3772,61,Baja,En riesgo
214,Juan,1647,48,Ninguna,En riesgo
215,Laura,4782,24,Ninguna,En observacion
216,Diego,3897,22,Baja,En observacion
217,Carlos,3011,23,Media,En observacion
218,Alejandro,2294,37,Ninguna,En riesgo
219,Diego,1159,27,Alta,En observacion
220,Laura,3311,20,Media,Saludable
221,Alejandro,1869,53,Ninguna,En riesgo
222,Marta,2486,17,Media,Saludable
223,Valentina,646,35,Media,En riesgo
224,Elena,3719,44,Alta,En observacion
225,Carlos,3411,72,Ninguna,En riesgo
226,Maria,2234,52,Media,En observacion
227,Juan,2343,29,Baja,En observacion
228,Valentina,988,59,Media,En riesgo
229,Diego,3476,31,Baja,En observacion
230,Jorge,2459,66,Baja,En riesgo
231,Maria,2885,66,Media,En riesgo
232,Pedro,3419,27,Media,En observacion
233,Marta,5236,43,Media,En observacion
234,Alejandro,2302,78,Ninguna,En riesgo
235,Miguel,4561,40,Baja,En observacion
236,Jose,3869,62,Ninguna,En riesgo
237,Juan,762,22,Media,En riesgo
238,Pedro,1123,74,Baja,En riesgo
239,Camila,1516,47,Baja,En riesgo
240,Sofia,4143,31,Baja,En observacion
241,Laura,5476,56,Ninguna,En riesgo
242,Luis,2549,32,Media,En observacion
243,Diego,5923,23,Alta,Saludable
244,Juan,4223,38,Baja,En observacion
245,Maria,5048,33,Baja,En observacion
246,Alejandro,3608,55,Media,En observacion
247,Elena,5779,27,Media,En observacion
248,Camila,4590,36,Media,En observacion
249,Laura,2556,6,Media,Saludable
250,Diego,3670,67,Media,En observacion
251,Laura,2182,36,Baja,En observacion
252,Lucia,2755,55,Baja,En riesgo
253,Martin,1654,64,Media,En riesgo
254,Lucia,4999,64,Media,En observacion
255,Ana,3691,46,Media,En observacion
256,Camila,2196,19,Alta,Saludable
257,Carlos,4491,18,Baja,Saludable
258,Alejandro,5223,28,Ninguna,En observacion
259,Valentina,5182,73,Media,En observacion
260,Ana,2148,59,Baja,En riesgo
261,Sofia,1945,17,Ninguna,En observacion
262,Martin,4699,34,Baja,En observacion
263,Luis,4423,42,Alta,En observacion
264,Jorge,753,10,Ninguna,En riesgo
265,Juan,3683,48,Media,En observacion
266,Jorge,3057,37,Media,En observacion
267,Ana,598,63,Alta,En riesgo
268,Elena,2700,68,Media,En riesgo
269,Carlos,3461,7,Alta,Saludable
270,Luis,5473,33,Media,En observacion
271,Pedro,4933,47,Media,En observacion
272,Juan,4277,55,Baja,En observacion
273,Claudia,3369,75,Ninguna,En riesgo
274,Jose,3734,64,Media,En observacion
275,Sofia,4291,30,Ninguna,En observacion
276,Lucia,1456,3,Ninguna,En observacion
277,Maria,4567,49,Baja,En observacion
278,Alejandro,660,68,Alta,En riesgo
279,Camila,4993,29,Baja,En observacion
280,Camila,1800,87,Ninguna,En riesgo
281,Elena,5411,58,Baja,En observacion
282,Juan,4487,66,Media,En observacion
283,Laura,2027,74,Media,En riesgo
284,Marta,5754,44,Baja,En observacion
285,Ana,1718,3,Media,En observacion
286,Jose,4996,25,Alta,Saludable
287,Marta,5235,26,Media,En observacion
288,Camila,3604,45,Baja,En observacion
289,Juan,3235,63,Ninguna,En riesgo
290,Marta,5055,50,Alta,En observacion
291,Alejandro,1454,49,Ninguna,En riesgo
292,Diego,5065,5,Media,Saludable
293,Diego,3946,58,Baja,En observacion
294,Diego,1545,14,Baja,En observacion
295,Martin,2193,29,Baja,En observacion
296,Claudia,3936,41,Ninguna,En riesgo
297,Jorge,1062,36,Media,En observacion
298,Sofia,2985,41,Ninguna,En riesgo
299,Marta,3854,34,Alta,Saludable
300,Valentina,725,86,Baja,En riesgo
301,Juan,5393,5,Baja,Saludable
302,Juan,1459,67,Baja,En riesgo
303,Claudia,5048,17,Media,Saludable
304,Lucia,3567,72,Ninguna,En riesgo
305,Diego,1315,28,Alta,En observacion
306,Luis,5254,76,Alta,En observacion
307,Marta,5142,58,Baja,En observacion
308,Valentina,5811,46,Media,En observacion
309,Martin,3620,16,Baja,Saludable
310,Valentina,516,21,Media,En riesgo
311,Juan,1743,67,Alta,En riesgo
312,Alejandro,2705,68,Baja,En riesgo
313,Sofia,3024,36,Media,En observacion
314,Carlos,1569,48,Alta,En observacion
315,Luis,3944,12,Baja,Saludable
316,Sofia,3065,33,Media,En observacion
317,Alejandro,1560,85,Baja,En riesgo
318,Valentina,2827,52,Media,En observacion
319,Valentina,3920,86,Baja,En riesgo
320,Juan,801,50,Baja,En riesgo
321,Miguel,4776,2,Baja,Saludable
322,Valentina,1106,41,Alta,En observacion
323,Pedro,3670,31,Baja,En observacion
324,Marta,1199,50,Baja,En riesgo
325,Marta,5588,84,Baja,En riesgo
326,Miguel,1639,45,Media,En riesgo
327,Lucia,690,20,Ninguna,En riesgo
328,Diego,2800,43,Baja,En riesgo
329,Pedro,1480,10,Alta,Saludable
330,Elena,3475,67,Media,En riesgo
331,Jose,1684,0,Ninguna,En observacion
332,Marta,3827,62,Alta,En observacion
333,Lucia,3894,23,Ninguna,En observacion
334,Marta,627,12,Baja,En observacion
335,Camila,2565,10,Baja,En observacion
336,Marta,2316,50,Media,En observacion
337,Claudia,1069,16,Media,En observacion
338,Martin,5942,81,Ninguna,En riesgo
339,Luis,2395,85,Media,En riesgo
340,Jorge,3233,23,Baja,En observacion
341,Sofia,4363,18,Media,Saludable
342,Luis,5221,36,Alta,Saludable
343,Claudia,4514,84,Alta,En observacion
344,Diego,3401,7,Media,Saludable
345,Carlos,2186,27,Ninguna,En riesgo
346,Carlos,3509,4,Media,Saludable
347,Juan,654,16,Media,En observacion
348,Valentina,3037,35,Media,En observacion
349,Claudia,1909,18,Media,En observacion
350,Diego,4557,63,Media,En observacion
351,Diego,1284,10,Ninguna,En observacion
352,Valentina,3675,53,Media,En observacion
353,Valentina,4841,44,Media,En observacion
354,Pedro,3306,46,Alta,En observacion
355,Ana,1037,11,Ninguna,En observacion
356,Jorge,2341,20,Media,Saludable
357,Martin,5516,10,Alta,Saludable
358,Maria,2955,4,Baja,En observacion
359,Elena,1024,80,Media,En riesgo
360,Carlos,3450,55,Media,En observacion
361,Luis,4631,19,Media,Saludable
362,Elena,5280,40,Baja,En observacion
363,Carlos,4615,45,Alta,En observacion
364,Pedro,2868,11,Baja,En observacion
365,Valentina,4347,69,Baja,En riesgo
366,Jorge,4995,16,Media,Saludable
367,Laura,3201,18,Media,Saludable
368,Jorge,1471,25,Media,En observacion
369,Marta,1666,47,Baja,En riesgo
370,Diego,5711,51,Media,En observacion
371,Maria,5429,69,Media,En observacion
372,Luis,3274,54,Media,En observacion
373,Martin,2482,74,Ninguna,En riesgo
374,Ana,1353,32,Media,En observacion
375,Martin,4646,61,Ninguna,En riesgo
376,Diego,4236,87,Media,En observacion
377,Camila,4269,22,Alta,Saludable
378,Maria,1074,14,Media,En observacion
379,Valentina,3761,26,Media,En observacion
380,Jose,1648,74,Media,En riesgo
381,Jorge,2215,63,Alta,En observacion
382,Sofia,5277,80,Ninguna,En riesgo
383,Juan,5433,50,Baja,En observacion
384,Martin,4354,52,Baja,En observacion
385,Claudia,5673,77,Alta,En observacion
386,Ana,2991,81,Alta,En observacion
387,Jorge,3160,50,Alta,En observacion
388,Diego,3624,46,Baja,En observacion
389,Pedro,3551,3,Ninguna,En observacion
390,Luis,504,6,Media,En observacion
391,Luis,5722,34,Alta,Saludable
392,Martin,5815,47,Media,En observacion
393,Diego,5369,72,Media,En observacion
394,Lucia,1376,71,Media,En riesgo
395,Alejandro,1491,44,Baja,En riesgo
396,Marta,4642,80,Baja,En riesgo
397,Maria,4864,80,Alta,En observacion
398,Laura,4965,71,Alta,En observacion
399,Marta,1135,18,Ninguna,En observacion
400,Luis,5725,62,Media,En observacion
401,Miguel,2193,37,Alta,En observacion
402,Jorge,2182,66,Alta,En observacion
403,Jorge,5252,58,Alta,En observacion
404,Jorge,619,68,Media,En riesgo
405,Miguel,1330,12,Baja,En observacion
406,Elena,4175,46,Media,En observacion
407,Sofia,5677,60,Media,En observacion
408,Jose,1869,30,Baja,En riesgo
409,Valentina,1240,79,Media,En riesgo
410,Ana,616,21,Ninguna,En riesgo
411,Laura,3338,85,Ninguna,En riesgo
412,Juan,1650,42,Alta,En observacion
413,Luis,2431,66,Baja,En riesgo
414,Jorge,1512,53,Media,En riesgo
415,Juan,2164,9,Ninguna,En observacion
416,Sofia,1581,41,Media,En riesgo
417,Carlos,5229,63,Ninguna,En riesgo
418,Carlos,1012,20,Baja,En observacion
419,Pedro,3349,79,Media,En riesgo
420,Ana,5715,75,Media,En observacion
421,Carlos,5737,65,Ninguna,En riesgo
422,Miguel,1059,40,Ninguna,En riesgo
423,Sofia,4172,23,Alta,Saludable
424,Carlos,5083,34,Baja,En observacion
425,Pedro,5492,55,Media,En observacion
426,Valentina,3843,29,Alta,Saludable
427,Jose,5808,56,Media,En observacion
428,Jose,4570,46,Media,En observacion
429,Martin,5299,34,Baja,En observacion
430,Lucia,1970,18,Media,En observacion
431,Sofia,1080,7,Baja,En observacion
432,Juan,2794,25,Alta,En observacion
433,Laura,3647,70,Media,En observacion
434,Alejandro,4749,29,Media,En observacion
435,Carlos,2179,6,Media,Saludable
436,Ana,4006,66,Alta,En observacion
437,Jose,5592,64,Alta,En observacion
438,Miguel,3244,35,Media,En observacion
439,Juan,3856,24,Media,En observacion
440,Diego,4545,36,Media,En observacion
441,Jose,1743,0,Media,En observacion
442,Alejandro,5688,14,Ninguna,En observacion
443,Jorge,3618,36,Ninguna,En observacion
444,Marta,5604,12,Media,Saludable
445,Ana,2641,7,Media,Saludable
446,Juan,5553,4,Alta,Saludable
447,Camila,3559,59,Ninguna,En riesgo
448,Jorge,5048,72,Alta,En observacion
449,Juan,5823,0,Media,Saludable
450,Luis,3459,35,Media,En observacion
451,Luis,2765,34,Media,En observacion
452,Elena,2979,65,Alta,En observacion
453,Elena,5146,62,Baja,En riesgo
454,Sofia,2135,22,Alta,En observacion
455,Ana,5908,8,Baja,Saludable
456,Pedro,2257,33,Alta,En observacion
457,Camila,4952,45,Alta,En observacion
458,Alejandro,2570,77,Ninguna,En riesgo
459,Miguel,3349,3,Alta,Saludable
460,Ana,3751,29,Baja,En observacion
461,Alejandro,4230,74,Media,En observacion
462,Diego,2989,71,Alta,En observacion
463,Jorge,2131,2,Ninguna,En observacion
464,Elena,3316,13,Media,Saludable
465,Elena,1515,59,Ninguna,En riesgo
466,Laura,1848,76,Alta,En riesgo
467,Marta,5111,44,Ninguna,En riesgo
468,Luis,3587,33,Alta,Saludable
469,Lucia,3339,44,Media,En observacion
470,Maria,835,60,Baja,En riesgo
471,Jorge,5092,82,Ninguna,En riesgo
472,Jorge,1395,15,Ninguna,En observacion
473,Alejandro,4046,65,Baja,En riesgo
474,Valentina,1351,39,Ninguna,En riesgo
475,Alejandro,2187,16,Alta,Saludable
476,Juan,2431,33,Media,En observacion
477,Sofia,4246,15,Media,Saludable
478,Marta,2927,59,Media,En observacion
479,Maria,2068,65,Media,En riesgo
480,Sofia,4500,65,Media,En observacion
481,Lucia,5552,89,Alta,En observacion
482,Marta,3238,12,Baja,En observacion
483,Jose,3998,55,Alta,En observacion
484,Martin,5887,30,Media,En observacion
485,Alejandro,5787,33,Media,En observacion
486,Jose,4413,38,Baja,En observacion
487,Sofia,1566,66,Baja,En riesgo
488,Ana,4880,7,Baja,Saludable
489,Jose,2944,86,Alta,En observacion
490,Sofia,4607,77,Media,En observacion
491,Diego,3873,54,Alta,En observacion
492,Maria,4469,26,Media,En observacion
493,Marta,3046,52,Media,En observacion
494,Lucia,1253,38,Alta,En observacion
495,Alejandro,2582,64,Media,En riesgo
496,Sofia,3274,16,Ninguna,En observacion
497,Elena,3396,29,Ninguna,En riesgo
498,Marta,4685,52,Media,En observacion
499,Claudia,1275,12,Alta,Saludable
500,Luis,2125,20,Alta,Saludable
501,Alejandro,3569,18,Media,Saludable
502,Valentina,917,52,Ninguna,En riesgo
503,Diego,614,18,Alta,En observacion
504,Maria,1116,56,Baja,En riesgo
505,Camila,4474,24,Alta,Saludable
506,Claudia,3767,85,Ninguna,En riesgo
507,Maria,1325,30,Media,En observacion
508,Laura,2016,80,Baja,En riesgo
509,Juan,3646,54,Media,En observacion
510,Ana,912,22,Baja,En riesgo
511,Claudia,1228,31,Alta,En observacion
512,Diego,3848,61,Alta,En observacion
513,Ana,3308,73,Ninguna,En riesgo
514,Diego,1175,9,Ninguna,En observacion
515,Lucia,3965,71,Ninguna,En riesgo
516,Juan,3004,53,Baja,En riesgo
517,Laura,3467,51,Baja,En riesgo
518,Elena,3286,19,Alta,Saludable
519,Valentina,1622,31,Media,En observacion
520,Lucia,4579,13,Media,Saludable
521,Valentina,2071,49,Baja,En riesgo
522,Camila,5573,27,Media,En observacion
523,Marta,5604,52,Alta,En observacion
524,Miguel,2643,23,Media,En observacion
525,Marta,2187,78,Baja,En riesgo
526,Sofia,4632,21,Media,En observacion
527,Jorge,4351,29,Alta,Saludable
528,Jose,3940,62,Alta,En observacion
529,Pedro,4266,3,Media,Saludable
530,Martin,2826,76,Media,En riesgo
531,Valentina,3414,58,Baja,En riesgo
532,Alejandro,5468,86,Baja,En riesgo
533,Jorge,5892,7,Baja,Saludable
534,Miguel,4452,81,Media,En observacion
535,Juan,1095,11,Baja,En observacion
536,Marta,1228,30,Media,En observacion
537,Luis,1865,77,Media,En riesgo
538,Carlos,4992,33,Baja,En observacion
539,Laura,1198,81,Alta,En riesgo
540,Alejandro,895,74,Alta,En riesgo
541,Luis,4671,75,Ninguna,En riesgo
542,Pedro,4860,48,Media,En observacion
543,Elena,3002,78,Baja,En riesgo
544,Carlos,2319,56,Alta,En observacion
545,Jorge,1217,25,Baja,En riesgo
546,Jorge,3282,17,Media,Saludable
547,Laura,5446,85,Alta,En observacion
548,Maria,4077,37,Baja,En observacion
549,Lucia,5986,80,Media,En observacion
550,Sofia,643,86,Media,En riesgo
551,Ana,5480,87,Alta,En observacion
552,Claudia,3640,49,Alta,En observacion
553,Miguel,4991,7,Media,Saludable
554,Sofia,3438,40,Alta,En observacion
555,Pedro,4136,5,Ninguna,En observacion
556,Elena,3722,68,Alta,En observacion
557,Alejandro,1667,43,Media,En riesgo
558,Elena,3116,63,Alta,En observacion
559,Jorge,1562,28,Media,En observacion
560,Juan,2656,27,Ninguna,En riesgo
561,Alejandro,5661,10,Alta,Saludable
562,Juan,5805,64,Ninguna,En riesgo
563,Ana,3482,18,Media,Saludable
564,Laura,3794,8,Baja,Saludable
565,Carlos,5229,26,Media,En observacion
566,Camila,1656,33,Ninguna,En riesgo
567,Diego,5834,43,Media,En observacion
568,Carlos,1232,67,Media,En riesgo
569,Lucia,4830,81,Alta,En observacion
570,Lucia,5346,14,Alta,Saludable
571,Claudia,1453,50,Ninguna,En riesgo
572,Juan,3039,12,Media,Saludable
573,Marta,3824,82,Media,En observacion
574,Luis,3801,48,Baja,En observacion
575,Diego,2042,69,Media,En riesgo
576,Laura,5793,55,Ninguna,En riesgo
577,Jorge,1691,75,Baja,En riesgo
578,Miguel,3493,50,Media,En observacion
579,Claudia,3181,36,Ninguna,En riesgo
580,Luis,1717,16,Alta,Saludable
581,Luis,2040,57,Media,En observacion
582,Valentina,3736,86,Media,En observacion
583,Claudia,2886,89,Media,En riesgo
584,Carlos,4219,28,Baja,En observacion
585,Pedro,1888,32,Ninguna,En riesgo
586,Martin,2356,59,Media,En observacion
587,Alejandro,1865,88,Media,En riesgo
588,Valentina,999,54,Ninguna,En riesgo
589,Juan,2180,9,Media,Saludable
590,Luis,1010,46,Media,En riesgo
591,Maria,4812,22,Media,En observacion
592,Juan,1824,84,Ninguna,En riesgo
593,Pedro,1655,20,Media,En observacion
594,Jose,2327,12,Baja,En observacion
595,Jose,3641,32,Baja,En observacion
596,Valentina,3986,23,Media,En observacion
597,Martin,2310,10,Media,Saludable
598,Maria,3423,16,Baja,En observacion
599,Pedro,5801,67,Media,En observacion
600,Pedro,2714,46,Baja,En riesgo
601,Laura,4686,24,Ninguna,En observacion
602,Carlos,1213,72,Baja,En riesgo
603,Claudia,4102,20,Baja,Saludable
604,Carlos,4634,83,Baja,En riesgo
605,Jose,4022,82,Baja,En riesgo
606,Claudia,4768,82,Media,En observacion
607,Ana,5248,11,Alta,Saludable
608,Marta,5349,36,Media,En observacion
609,Camila,1743,41,Baja,En riesgo
610,Valentina,4209,16,Media,Saludable
611,Ana,1581,47,Baja,En riesgo
612,Lucia,955,27,Media,En riesgo
613,Miguel,5424,40,Baja,En observacion
614,Juan,1394,46,Alta,En observacion
615,Carlos,1884,17,Baja,En observacion
616,Luis,2458,77,Media,En riesgo
617,Martin,3572,70,Media,En observacion
618,Elena,2496,12,Media,Saludable
619,Diego,4785,81,Baja,En riesgo
620,Carlos,1004,12,Media,En observacion
621,Jorge,1714,30,Media,En observacion
622,Carlos,2031,1,Ninguna,En observacion
623,Jose,3940,15,Baja,Saludable
624,Maria,1323,8,Ninguna,En observacion
625,Miguel,1428,72,Media,En riesgo
626,Jorge,5529,37,Media,En observacion
627,Alejandro,5736,74,Ninguna,En riesgo
628,Marta,633,53,Media,En riesgo
629,Valentina,2605,55,Baja,En riesgo
630,Pedro,4127,85,Media,En observacion
631,Jorge,5280,86,Media,En observacion
632,Ana,2352,44,Alta,En observacion
633,Diego,5410,33,Media,En observacion
634,Laura,5768,8,Alta,Saludable
635,Diego,4675,87,Alta,En observacion
636,Pedro,3433,7,Ninguna,En observacion
637,Miguel,3784,6,Media,Saludable
638,Sofia,4798,35,Baja,En observacion
639,Alejandro,3311,17,Baja,En observacion
640,Jose,5848,2,Media,Saludable
641,Luis,1750,27,Alta,En observacion
642,Maria,4012,69,Baja,En riesgo
643,Laura,1756,43,Baja,En riesgo
644,Marta,3876,20,Baja,Saludable
645,Jorge,5762,27,Baja,En observacion
646,Sofia,3986,53,Ninguna,En riesgo
647,Diego,4084,53,Media,En observacion
648,Jose,1896,64,Media,En riesgo
649,Jose,4137,20,Baja,Saludable
650,Marta,3830,12,Alta,Saludable
651,Laura,3203,56,Ninguna,En riesgo
652,Claudia,970,48,Alta,En riesgo
653,Lucia,5631,53,Media,En observacion
654,Claudia,1853,9,Baja,En observacion
655,Laura,3283,52,Media,En observacion
656,Valentina,3331,43,Media,En observacion
657,Valentina,5563,46,Media,En observacion
658,Ana,857,52,Ninguna,En riesgo
659,Diego,3519,73,Media,En observacion
660,Pedro,1167,45,Ninguna,En riesgo
661,Valentina,4968,12,Alta,Saludable
662,Sofia,5627,36,Baja,En observacion
663,Jose,1645,23,Baja,En riesgo
664,Pedro,5967,1,Alta,Saludable
665,Diego,4685,85,Media,En observacion
666,Sofia,4219,80,Alta,En observacion
667,Carlos,3245,13,Baja,En observacion
668,Martin,1039,9,Media,En observacion
669,Maria,3279,34,Baja,En observacion
670,Miguel,5464,24,Alta,Saludable
671,Elena,4636,2,Media,Saludable
672,Valentina,5335,16,Alta,Saludable
673,Marta,4275,11,Media,Saludable
674,Camila,5820,53,Media,En observacion
