id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero,split
59,Juan Luis,1658.3,31.35,Baja,En riesgo,test
60,Noemí,2638.66,22.24,Baja,En observacion,val
61,Armando,2860.37,23.51,Media,En observacion,test
62,Luna,2449.72,24.37,Media,En observacion,test
63,Ángel,4400.58,17.68,Media,Saludable,test
64,Brunilda,2748.64,20.91,Media,Saludable,train
65,Edelmiro,2483.27,24.99,Baja,En observacion,test
66,Ágata,3399.44,20.65,Baja,En observacion,train
67,Reyes,1993.23,24.65,Media,En observacion,test
68,Cayetano,4307.69,17.7,Baja,En observacion,test
69,Carmina,1760.93,27.09,Baja,En riesgo,train
70,Lázaro,4954.1,14.38,Media,Saludable,val
71,Paula,4202.86,19.38,Baja,En observacion,train
72,Eusebia,2195.5,22.89,Media,En observacion,train
73,Esperanza,1519.33,30.38,Baja,En riesgo,train
74,Sonia,4354.11,21.09,Baja,En observacion,val
75,Rosalva,3974.0,18.48,Media,Saludable,train
76,Porfirio,4051.53,20.86,Media,Saludable,train
77,Crescencia,4199.45,19.93,Media,Saludable,train
78,Gregorio,1759.16,28.99,Baja,En riesgo,train
79,Julie,2754.63,21.88,Media,Saludable,train
80,Buenaventura,1905.54,25.59,Media,En observacion,train
81,Artemio,4520.86,17.69,Media,Saludable,train
82,Gisela,3681.54,19.16,Media,Saludable,val
83,Javier,2658.14,23.24,Media,En observacion,test
84,María Teresa,1722.45,26.95,Media,En riesgo,train
85,Luis Miguel,2588.44,24.85,Media,En observacion,val
86,Cebrián,2638.14,22.69,Media,En observacion,train
87,Rita,4053.62,18.67,Media,Saludable,train
88,Joan,3731.45,19.48,Media,Saludable,val
89,Roxana,4605.24,18.14,Media,Saludable,train
90,Cosme,3152.75,22.78,Baja,En observacion,test
91,Ricardo,1918.58,26.61,Baja,En riesgo,val
92,Leopoldo,3996.36,18.68,Media,Saludable,train
93,Wilfredo,4162.75,19.05,Media,Saludable,test
94,Fabiola,3464.47,20.28,Media,Saludable,train
95,Perlita,4198.39,18.34,Baja,En observacion,test
96,Pánfilo,3228.28,21.27,Media,Saludable,train
97,Fermín,3329.56,21.55,Media,Saludable,train
98,Raimundo,2996.39,24.83,Media,En observacion,train
99,Pedro,1588.97,30.79,Media,En riesgo,train
100,Hugo,1877.62,22.46,Media,En observacion,train
101,Herminia,1610.0,27.71,Baja,En riesgo,train
102,Juanito,3727.44,18.72,Baja,En observacion,train
103,Judith,2600.25,21.96,Media,Saludable,train
104,Isabela,3280.0,22.49,Baja,En observacion,train
105,Flora,4676.48,16.54,Baja,En observacion,test
106,Calixto,2372.52,24.25,Baja,En observacion,train
107,Emelina,2936.34,23.04,Media,En observacion,val
108,Fabiola,4144.43,17.96,Media,Saludable,train
109,Francisco Javier,2300.79,22.25,Media,En observacion,train
110,Bibiana,1769.43,25.8,Media,En observacion,train
111,Luisina,2514.13,23.15,Media,En observacion,train
112,Jose Ignacio,2064.27,27.61,Media,En riesgo,val
113,Fernando,4753.94,17.32,Baja,En observacion,train
114,Óscar,4328.42,19.57,Media,Saludable,train
115,Reynaldo,3716.91,19.38,Media,Saludable,train
116,Julián,4550.11,18.05,Baja,En observacion,test
117,Ángela,4312.85,17.79,Media,Saludable,val
118,Felicidad,2153.0,26.44,Media,En riesgo,val
119,Javiera,4623.96,16.1,Media,Saludable,train
120,Cecilia,3387.7,19.19,Media,Saludable,val
121,Isidoro,4326.04,19.82,Baja,En observacion,train
122,Isidora,4636.32,18.13,Media,Saludable,val
123,Moreno,2613.01,24.04,Baja,En observacion,test
124,Pía,1885.18,28.71,Media,En riesgo,train
125,María Jesús,2297.77,23.2,Media,En observacion,train
126,Maura,2994.88,22.83,Media,En observacion,val
127,Basilio,4363.05,17.9,Media,Saludable,val
128,Jenaro,4512.56,17.06,Baja,En observacion,val
129,Paca,1524.33,31.8,Media,En riesgo,train
130,Amílcar,3287.62,18.73,Baja,En observacion,train
131,Noa,2960.94,22.14,Baja,En observacion,train
132,Maximiano,2277.38,25.6,Baja,En observacion,test
133,Salvador,1919.53,27.7,Media,En riesgo,train
134,Julio,2681.65,20.12,Media,Saludable,train
135,Blas,4800.18,18.45,Media,Saludable,train
136,Héctor,2631.21,21.69,Media,Saludable,val
137,Xiomara,3315.77,21.32,Baja,En observacion,test
138,Claudia,3960.57,20.62,Baja,En observacion,train
139,Sarita,2772.7,22.6,Media,En observacion,val
140,Lina,4901.24,19.56,Baja,En observacion,train
141,Maxi,4868.57,17.09,Media,Saludable,train
142,Ibán,2381.24,24.62,Media,En observacion,val
143,Gabriela,3240.37,21.31,Media,Saludable,train
144,Angelina,2553.07,25.92,Baja,En observacion,test
145,Ruy,2496.94,23.84,Baja,En observacion,train
146,Soledad,1629.1,32.07,Media,En riesgo,val
147,Yaiza,3633.48,19.81,Media,Saludable,train
148,Fernanda,3259.38,21.72,Media,Saludable,test
149,Álvaro,1680.18,29.74,Baja,En riesgo,train
150,Eric,2475.26,25.8,Baja,En observacion,test
151,Juan Manuel,4678.93,19.28,Media,Saludable,train
152,Emilio,2338.47,24.1,Media,En observacion,train
153,Jose Manuel,2007.13,25.51,Baja,En observacion,train
154,Marcela,3213.08,19.77,Media,Saludable,train
155,Chelo,4949.78,18.28,Baja,En observacion,train
156,Bárbara,2347.19,25.05,Media,En observacion,train
157,Juan José,3852.47,19.85,Baja,En observacion,train
158,Margarita,4165.67,18.07,Media,Saludable,train
159,Daniela,2331.73,23.98,Media,En observacion,train
160,Tiburcio,4048.76,19.67,Media,Saludable,train
161,Tomasa,2787.24,22.98,Media,En observacion,val
162,Dalila,3713.07,20.59,Media,Saludable,train
163,Sabas,3717.35,19.83,Baja,En observacion,train
164,Porfirio,3375.21,20.4,Media,Saludable,train
165,Isidoro,1816.01,26.82,Media,En riesgo,test
166,Emiliano,4423.56,17.86,Media,Saludable,train
167,Araceli,2622.73,22.2,Media,En observacion,test
168,Ana,2152.81,28.19,Media,En riesgo,train
169,Ciriaco,1642.71,28.67,Baja,En riesgo,train
170,Marisol,3568.13,20.97,Media,Saludable,train
171,Asdrubal,3871.48,19.41,Media,Saludable,train
172,Rosalinda,1558.06,30.36,Media,En riesgo,train
173,Damián,3292.33,19.42,Media,Saludable,train
174,Ezequiel,2292.74,23.63,Baja,En observacion,train
175,Eulalia,3758.1,20.66,Media,Saludable,train
176,Feliciano,2110.28,24.12,Media,En observacion,train
177,Mónica,3918.28,20.75,Media,Saludable,test
178,Irma,2853.57,22.51,Baja,En observacion,train
179,Telmo,4778.55,17.07,Baja,En observacion,val
180,Débora,1981.32,25.0,Media,En observacion,train
181,Bernardo,2693.73,21.86,Baja,En observacion,test
182,Rogelio,1897.16,29.19,Media,En riesgo,val
183,Rico,4736.43,17.15,Media,Saludable,val
184,Débora,4570.69,17.41,Media,Saludable,train
185,Adelina,2402.8,22.9,Media,En observacion,test
186,Benigna,3809.94,18.35,Media,Saludable,val
187,José,4360.28,19.03,Baja,En observacion,test
188,Carolina,3443.2,22.94,Media,En observacion,test
189,Rosalinda,3353.78,19.99,Media,Saludable,test
190,Aitor,2346.48,25.41,Media,En observacion,train
191,Irma,1825.86,29.54,Baja,En riesgo,val
192,Lorena,4640.26,18.64,Media,Saludable,train
193,Darío,4651.46,19.06,Media,Saludable,val
194,Isabel,3715.86,21.51,Media,Saludable,train
195,Sonia,2686.6,23.45,Baja,En observacion,val
196,Brunilda,2722.23,23.1,Media,En observacion,train
197,Maricela,4040.84,17.27,Media,Saludable,val
198,Juanito,4639.89,18.73,Media,Saludable,val
199,María José,4604.8,18.15,Baja,En observacion,train
200,Felipa,4229.56,16.87,Baja,En observacion,train
201,Noé,3747.11,21.21,Media,Saludable,train
202,Dani,1794.49,31.03,Media,En riesgo,val
203,Lázaro,2065.7,26.71,Media,En riesgo,test
204,Trinidad,4644.94,18.07,Media,Saludable,test
205,Fausto,3622.5,21.99,Media,Saludable,test
206,Wilfredo,1532.19,30.44,Media,En riesgo,train
207,Abraham,1855.15,28.4,Media,En riesgo,train
208,Lorenza,3822.26,19.54,Media,Saludable,train
209,Sara,1517.72,29.85,Media,En riesgo,val
210,Loida,2062.83,24.99,Baja,En observacion,train
211,Juan José,3420.57,17.4,Baja,En observacion,val
212,Angelita,3921.63,19.24,Baja,En observacion,train
213,María Belén,3781.86,20.26,Media,Saludable,train
214,Gaspar,2284.94,22.83,Media,En observacion,train
215,Anunciación,3992.63,21.0,Media,Saludable,train
216,Ximena,2330.37,24.57,Media,En observacion,train
217,Curro,2638.9,23.29,Media,En observacion,train
218,Sabina,4112.72,18.95,Media,Saludable,test
219,Eufemia,3773.72,18.88,Media,Saludable,test
220,Marc,4472.28,19.29,Media,Saludable,test
221,Prudencia,3801.65,18.81,Baja,En observacion,val
222,Feliciana,3489.08,21.42,Baja,En observacion,train
223,Anunciación,1827.86,29.28,Baja,En riesgo,val
224,Emelina,2787.01,23.64,Baja,En observacion,val
225,Heliodoro,2428.21,22.86,Baja,En observacion,train
226,Ezequiel,2353.96,25.0,Media,En observacion,val
227,Raúl,4905.54,16.54,Media,Saludable,train
228,María Belén,2875.84,19.54,Baja,En observacion,test
229,Felix,4622.16,19.53,Media,Saludable,train
230,Calista,3708.99,20.23,Media,Saludable,train
231,Melania,4281.84,19.94,Baja,En observacion,train
232,Ágata,3259.23,22.72,Baja,En observacion,test
233,Bernarda,3519.16,17.73,Baja,En observacion,train
234,Zaida,3223.81,21.77,Media,Saludable,test
235,Aarón,2183.35,26.32,Media,En riesgo,test
236,Elena,4028.58,19.71,Baja,En observacion,test
237,Moisés,2482.7,24.09,Baja,En observacion,val
238,Amaya,1585.11,31.85,Baja,En riesgo,train
239,Alejo,3759.15,21.7,Media,Saludable,val
240,Dani,2119.89,27.69,Baja,En riesgo,test
241,Úrsula,4791.61,16.96,Baja,En observacion,test
242,Primitivo,4838.75,16.8,Media,Saludable,test
243,Selena,4702.03,16.41,Media,Saludable,train
244,Paz,2795.56,24.71,Media,En observacion,val
245,Noemí,1554.1,29.39,Media,En riesgo,val
246,Marino,4749.11,21.05,Baja,En observacion,val
247,Jose,2998.64,22.17,Baja,En observacion,val
248,Bautista,4883.29,17.45,Baja,En observacion,train
249,Jose Angel,4872.67,15.19,Media,Saludable,train
250,Selena,4485.53,19.59,Media,Saludable,train
251,Claudia,2530.57,26.64,Media,En riesgo,train
252,Cayetano,2847.84,21.95,Baja,En observacion,train
253,Che,4478.98,19.46,Media,Saludable,train
254,Lupita,2609.23,21.75,Media,Saludable,train
255,Amalia,2093.22,24.53,Media,En observacion,train
256,Olalla,3448.8,19.14,Media,Saludable,val
257,Bruno,4776.54,20.42,Media,Saludable,train
258,Martirio,3936.1,17.99,Baja,En observacion,train
259,Berta,3495.21,21.34,Media,Saludable,train
260,María Dolores,1840.12,27.71,Media,En riesgo,val
261,Edgardo,3652.53,20.26,Media,Saludable,train
262,Eduardo,4965.19,15.68,Baja,En observacion,train
263,Georgina,1990.29,25.48,Baja,En observacion,train
264,Aitana,3314.15,20.64,Baja,En observacion,train
265,Carmela,4570.81,16.73,Baja,En observacion,val
266,Fito,4092.69,18.57,Media,Saludable,val
267,Juan Manuel,3939.56,18.12,Baja,En observacion,train
268,Belén,3958.69,18.44,Media,Saludable,val
269,Salud,2758.22,22.81,Media,En observacion,train
270,Elvira,2527.57,24.12,Baja,En observacion,val
271,Teo,4332.76,17.49,Baja,En observacion,train
272,Héctor,4335.4,19.15,Baja,En observacion,train
273,Úrsula,4534.75,17.88,Baja,En observacion,train
274,Calista,4696.34,18.83,Baja,En observacion,train
275,Marisol,3289.7,19.2,Media,Saludable,train
276,Luna,3255.31,22.65,Baja,En observacion,train
277,Jenny,4294.03,19.78,Media,Saludable,test
278,Herberto,3774.87,18.8,Baja,En observacion,val
279,Leyre,3956.88,19.16,Media,Saludable,val
280,Mateo,4285.27,18.19,Media,Saludable,train
281,Sabas,4615.02,17.92,Baja,En observacion,test
282,Hilda,2682.98,24.14,Media,En observacion,val
283,Florentina,2814.54,23.4,Media,En observacion,test
284,Raúl,1828.94,30.37,Media,En riesgo,val
285,Urbano,3523.98,19.29,Media,Saludable,test
286,Trinidad,1625.8,27.72,Baja,En riesgo,train
287,Asunción,3129.59,22.24,Media,En observacion,train
288,Vito,3399.26,19.0,Media,Saludable,train
289,Dionisio,2502.89,23.62,Media,En observacion,test
290,Jose Miguel,3567.92,18.43,Media,Saludable,train
291,Jafet,1606.75,31.96,Media,En riesgo,test
292,Bernardo,1630.72,29.68,Baja,En riesgo,train
293,Nilo,4379.1,19.58,Media,Saludable,train
294,Alfonso,2760.67,22.41,Media,En observacion,train
295,Dionisia,1944.71,27.73,Media,En riesgo,train
296,Casandra,3327.85,21.86,Media,Saludable,val
297,Jeremías,4194.98,18.87,Baja,En observacion,train
298,Dionisia,2255.37,22.53,Baja,En observacion,train
299,Isidro,3680.12,19.15,Media,Saludable,train
300,Adrián,1798.72,26.42,Baja,En riesgo,train
301,Calisto,1680.89,28.92,Baja,En riesgo,val
302,Laura,3359.74,21.92,Media,Saludable,val
303,Evangelina,3392.22,20.03,Media,Saludable,train
304,Benigno,3731.0,21.03,Media,Saludable,val
305,Jenaro,4041.32,18.83,Media,Saludable,test
306,Borja,4915.48,17.99,Media,Saludable,train
307,Vicenta,3307.05,20.31,Media,Saludable,train
308,Amílcar,2630.35,22.52,Media,En observacion,train
309,Rosalina,4283.15,17.88,Media,Saludable,test
310,Natalio,2447.91,22.91,Baja,En observacion,train
311,Calisto,3036.4,22.9,Baja,En observacion,train
312,Aroa,1774.6,27.96,Baja,En riesgo,train
313,Jordán,1588.73,24.61,Media,En observacion,train
314,León,4869.27,19.53,Baja,En observacion,val
315,Haydée,4425.93,17.55,Media,Saludable,train
316,Amalia,3935.91,17.3,Baja,En observacion,test
317,Iker,2931.34,23.87,Media,En observacion,val
318,Calista,2106.53,25.4,Media,En observacion,train
319,Eligio,2047.53,28.28,Media,En riesgo,val
320,Loreto,2375.85,24.36,Media,En observacion,test
321,Sofía,3422.29,19.94,Media,Saludable,train
322,Concepción,4001.09,21.59,Baja,En observacion,train
323,Corona,3810.69,19.85,Baja,En observacion,train
324,Ainara,2479.77,25.89,Media,En observacion,train
325,Jose Carlos,4842.03,18.87,Media,Saludable,train
326,Milagros,4082.64,19.92,Media,Saludable,train
327,Ainara,3440.24,22.6,Media,En observacion,train
328,Noemí,3641.02,21.56,Baja,En observacion,train
329,Santos,2968.6,22.62,Media,En observacion,train
330,Goyo,2367.06,26.01,Baja,En riesgo,train
331,Ciríaco,2745.9,24.6,Media,En observacion,test
332,Cleto,4152.46,17.92,Baja,En observacion,train
333,Genoveva,1550.38,30.38,Media,En riesgo,train
334,Tomás,1906.25,26.78,Media,En riesgo,train
335,Paulino,1661.01,31.87,Baja,En riesgo,test
336,Teo,1642.55,27.73,Media,En riesgo,train
337,Segismundo,4494.11,17.41,Baja,En observacion,val
338,Adelia,3962.8,18.7,Media,Saludable,train
339,Rosario,3159.61,23.11,Baja,En observacion,train
340,Luisina,1842.42,27.15,Baja,En riesgo,test
341,Baltasar,3220.66,20.77,Media,Saludable,train
342,Ignacia,3157.15,21.26,Baja,En observacion,train
343,Francisca,2106.21,26.83,Baja,En riesgo,train
344,Flavia,3018.48,21.58,Media,Saludable,test
345,Clímaco,2894.77,21.9,Media,Saludable,test
346,Benjamín,3655.48,19.21,Media,Saludable,train
347,Samuel,3722.83,19.29,Baja,En observacion,train
348,Luisa,1658.56,27.61,Media,En riesgo,train
349,Norberto,2811.14,22.71,Media,En observacion,train
350,Nereida,3690.51,21.21,Baja,En observacion,test
351,Rosalva,3260.98,18.91,Media,Saludable,train
352,César,4497.71,16.97,Media,Saludable,test
353,Jose Ramón,3805.43,20.68,Media,Saludable,val
354,Gregorio,2070.27,28.46,Baja,En riesgo,train
355,Goyo,1746.99,27.82,Media,En riesgo,train
356,Brunilda,3748.47,22.23,Media,En observacion,test
357,Vidal,1592.79,31.88,Media,En riesgo,test
358,Enrique,3550.21,21.14,Media,Saludable,val
359,Telmo,4790.81,18.1,Baja,En observacion,train
360,Gervasio,3514.16,19.94,Media,Saludable,train
361,León,2858.59,23.22,Media,En observacion,train
362,Óscar,3751.51,18.75,Baja,En observacion,val
363,Josep,3103.89,22.36,Media,En observacion,train
364,Sandra,3409.66,22.12,Baja,En observacion,train
365,Águeda,4795.13,18.22,Media,Saludable,train
366,Carlos,2851.36,22.64,Media,En observacion,train
367,Venceslás,4864.17,19.72,Media,Saludable,train
368,Nuria,4668.73,17.34,Media,Saludable,train
369,Rosalva,2185.27,25.22,Media,En observacion,val
370,Roberta,1742.76,28.49,Baja,En riesgo,train
371,Carmelita,1852.72,27.35,Baja,En riesgo,val
372,Clímaco,1563.78,30.46,Media,En riesgo,test
373,Aureliano,1830.55,27.39,Baja,En riesgo,val
374,Florinda,3890.52,20.72,Media,Saludable,val
375,Calixta,1749.16,29.25,Media,En riesgo,train
376,Piedad,2616.41,20.86,Media,Saludable,train
377,Albino,4457.06,19.46,Media,Saludable,train
378,Ciro,1581.45,30.11,Media,En riesgo,train
379,Ángeles,4350.64,18.67,Media,Saludable,train
380,Marisa,2486.49,23.76,Baja,En observacion,val
381,Reina,1913.58,26.61,Media,En riesgo,train
382,Jordi,3938.58,19.61,Media,Saludable,test
383,Flavio,3701.3,20.86,Media,Saludable,train
384,Santos,4571.15,17.2,Baja,En observacion,train
385,Amalia,4072.75,20.66,Media,Saludable,val
386,Alicia,4312.18,18.14,Media,Saludable,train
387,Ignacio,2487.12,22.06,Media,En observacion,test
388,Rosaura,2121.04,27.24,Baja,En riesgo,train
389,Salvador,4127.15,17.81,Baja,En observacion,val
390,Vanesa,4323.92,19.24,Media,Saludable,train
391,Benigno,4966.77,19.91,Baja,En observacion,test
392,Fidel,2944.16,20.57,Baja,En observacion,val
393,Reynaldo,2802.06,23.94,Media,En observacion,train
394,Abilio,4217.45,16.99,Media,Saludable,test
395,Rosario,2692.81,22.99,Media,En observacion,test
396,Juan Manuel,4757.65,19.25,Media,Saludable,train
397,Ángeles,4504.44,18.89,Media,Saludable,test
398,Miguela,3001.48,20.78,Baja,En observacion,train
399,Milagros,4128.05,17.75,Media,Saludable,test
400,Wálter,4140.9,16.97,Baja,En observacion,train
401,Lucho,1860.93,29.48,Baja,En riesgo,val
402,Teo,4658.94,19.25,Media,Saludable,train
403,Josefina,3268.38,20.22,Media,Saludable,train
404,Lupe,4392.6,21.84,Media,Saludable,train
405,Miguela,2620.17,20.28,Media,Saludable,train
406,Cayetana,4634.33,18.11,Baja,En observacion,val
407,Gisela,2862.21,21.9,Media,Saludable,val
408,Lina,1537.93,31.56,Baja,En riesgo,train
409,Amanda,4668.84,19.99,Baja,En observacion,train
410,Fabián,1819.5,32.59,Media,En riesgo,val
411,Goyo,2617.6,25.1,Baja,En observacion,val
412,Manu,4825.22,15.38,Media,Saludable,train
413,Isaac,4827.13,19.91,Media,Saludable,train
414,Bautista,3507.03,21.51,Baja,En observacion,test
415,Cruz,3711.43,18.73,Media,Saludable,train
416,Magdalena,3069.56,20.44,Media,Saludable,val
417,Candela,2526.24,24.47,Media,En observacion,train
418,Benjamín,2650.33,23.72,Media,En observacion,train
419,Mariana,3853.81,18.57,Baja,En observacion,train
420,Mauricio,4133.31,20.62,Media,Saludable,val
421,Baudelio,4270.53,18.22,Baja,En observacion,test
422,Aureliano,4263.66,19.37,Media,Saludable,train
423,Daniela,1819.22,26.59,Media,En riesgo,train
424,Albina,3230.47,23.03,Media,En observacion,train
425,Ani,1701.46,28.33,Media,En riesgo,train
426,Zaira,3423.35,20.52,Baja,En observacion,val
427,Reyna,3045.36,22.38,Media,En observacion,train
428,Bernarda,4606.96,19.37,Baja,En observacion,test
429,Fausto,2728.2,22.74,Baja,En observacion,train
430,Baudelio,1909.73,26.64,Media,En riesgo,train
431,Apolonia,2000.47,25.32,Media,En observacion,test
432,Cecilio,4165.29,19.9,Baja,En observacion,train
433,Renata,3663.76,20.05,Media,Saludable,test
434,Gilberto,1853.93,28.08,Media,En riesgo,train
435,Bruno,1794.37,27.17,Baja,En riesgo,train
436,Dulce,3953.39,20.22,Baja,En observacion,train
437,Borja,1754.67,29.24,Baja,En riesgo,train
438,Imelda,4376.51,18.56,Baja,En observacion,train
439,Rosalva,3971.85,15.87,Media,Saludable,train
440,Joel,1784.72,30.17,Media,En riesgo,train
441,Sancho,1796.93,25.19,Media,En observacion,train
442,Dimas,4953.24,19.57,Baja,En observacion,train
443,Tania,2809.95,21.46,Media,Saludable,val
444,Clotilde,2797.25,22.21,Baja,En observacion,test
445,Jose Manuel,4344.8,18.74,Media,Saludable,train
446,Cristina,4815.37,18.01,Media,Saludable,test
447,Dorotea,4951.0,17.77,Media,Saludable,train
448,Aníbal,4136.82,17.99,Media,Saludable,train
449,Estefanía,2816.91,20.98,Media,Saludable,train
450,Ceferino,1792.25,28.28,Media,En riesgo,test
451,Simón,4220.01,19.16,Baja,En observacion,val
452,Gema,3454.41,20.17,Baja,En observacion,train
453,Dalila,2984.78,22.13,Media,En observacion,test
454,Clara,4672.24,18.52,Baja,En observacion,train
455,Azeneth,1889.19,29.45,Baja,En riesgo,train
456,Maximiano,3224.19,19.72,Baja,En observacion,train
457,Juan Carlos,1539.74,30.11,Baja,En riesgo,train
458,Hernando,3140.31,22.96,Media,En observacion,val
459,Haydée,1697.06,30.34,Baja,En riesgo,train
460,Lilia,1915.86,29.18,Baja,En riesgo,train
461,Mauricio,1911.34,24.16,Baja,En observacion,test
462,Jorge,3772.24,18.48,Media,Saludable,val
463,Juan Manuel,4111.16,19.65,Media,Saludable,val
464,Ruy,3541.79,22.0,Media,Saludable,train
465,Eleuterio,4867.6,17.64,Media,Saludable,train
466,Hilda,2812.05,20.34,Media,Saludable,test
467,Filomena,2499.99,22.65,Baja,En observacion,test
468,Marcelo,4540.1,19.07,Baja,En observacion,train
469,Zacarías,2282.59,22.81,Media,En observacion,train
470,Maximiano,4871.28,18.76,Media,Saludable,train
471,Úrsula,1542.54,28.97,Media,En riesgo,train
472,Maricruz,4894.58,19.26,Media,Saludable,val
473,Camilo,1651.06,29.63,Baja,En riesgo,train
474,Agapito,4619.0,19.31,Media,Saludable,test
475,Álvaro,3346.95,19.18,Baja,En observacion,train
476,Ester,4975.38,16.96,Media,Saludable,test
477,Chus,1758.29,28.92,Baja,En riesgo,train
478,Cornelio,3438.49,20.31,Baja,En observacion,train
479,Candelario,4892.56,17.4,Baja,En observacion,val
480,Brígida,3330.84,20.33,Media,Saludable,test
481,Ignacio,3702.9,18.89,Media,Saludable,train
482,Antonia,3935.12,18.76,Media,Saludable,train
483,Juan Manuel,3090.89,21.94,Media,Saludable,test
484,Eligio,3696.45,19.47,Media,Saludable,val
485,Paco,3545.1,18.26,Media,Saludable,test
486,Socorro,4654.05,17.79,Media,Saludable,train
487,Bruno,1659.06,29.46,Media,En riesgo,train
488,Serafina,2483.37,22.35,Media,En observacion,train
489,Jose Ignacio,4826.44,18.06,Baja,En observacion,train
490,Rafael,4615.92,16.94,Media,Saludable,val
491,Lucas,3094.8,22.05,Media,En observacion,train
492,Fausto,3670.46,18.35,Baja,En observacion,train
493,Urbano,2470.83,24.86,Media,En observacion,train
494,Perla,2158.42,24.38,Baja,En observacion,train
495,Candelaria,3122.94,20.52,Media,Saludable,train
496,Juliana,2736.73,24.75,Baja,En observacion,test
497,Marciano,3542.8,18.62,Media,Saludable,train
498,Emma,1772.07,28.14,Media,En riesgo,train
499,Noemí,4910.38,18.75,Baja,En observacion,train
500,Francisca,4951.74,19.96,Media,Saludable,test
501,Benigna,3943.57,19.41,Baja,En observacion,val
502,Adán,3376.34,19.56,Baja,En observacion,val
503,Guadalupe,2583.35,23.28,Media,En observacion,train
504,Olga,4348.28,16.95,Media,Saludable,val
505,Casandra,3896.56,18.62,Media,Saludable,train
506,Marcelino,2069.16,26.67,Media,En riesgo,test
507,Gracia,4688.25,17.89,Baja,En observacion,test
508,Cristóbal,4378.88,19.16,Baja,En observacion,train
509,Selena,4824.3,17.43,Media,Saludable,train
510,Eloy,4040.02,19.02,Media,Saludable,val
511,Juan Luis,3646.95,21.11,Media,Saludable,train
512,David,2963.85,21.47,Media,Saludable,train
513,Tania,4764.55,19.66,Baja,En observacion,train
514,Custodio,4531.22,19.6,Media,Saludable,test
515,Manuelita,1658.27,27.43,Media,En riesgo,train
516,Carolina,1592.28,32.07,Media,En riesgo,train
517,Fabricio,2817.62,21.18,Media,Saludable,train
518,Lalo,4336.94,19.47,Baja,En observacion,train
519,Lope,4955.47,17.71,Media,Saludable,test
