id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero
159,Daniela,2331.73,27.29,Media,En riesgo
160,Tiburcio,4048.76,18.95,Media,Saludable
161,Tomasa,2787.24,24.45,Media,En observacion
162,Dalila,3713.07,21.0,Media,Saludable
163,Sabas,3717.35,20.78,Baja,En observacion
164,Porfirio,3375.21,21.8,Media,Saludable
165,Isidoro,1816.01,29.28,Media,En riesgo
166,Emiliano,4423.56,18.44,Media,Saludable
167,Araceli,2622.73,25.47,Media,En observacion
168,Ana,2152.81,26.34,Media,En riesgo
169,Ciriaco,1642.71,30.7,Baja,En riesgo
170,Marisol,3568.13,20.05,Media,Saludable
171,Asdrubal,3871.48,18.56,Media,Saludable
172,Rosalinda,1558.06,32.43,Media,En riesgo
173,Damián,3292.33,21.79,Media,Saludable
174,Ezequiel,2292.74,25.6,Media,En observacion
175,Eulalia,3758.1,20.18,Media,Saludable
176,Feliciano,2110.28,26.69,Media,En riesgo
177,Mónica,3918.28,21.56,Media,Saludable
178,Irma,2853.57,24.33,Baja,En observacion
179,Telmo,4778.55,19.04,Media,Saludable
180,Débora,1981.32,27.39,Media,En riesgo
181,Bernardo,2693.73,24.43,Baja,En observacion
182,Rogelio,1897.16,28.01,Media,En riesgo
183,Rico,4736.43,19.13,Media,Saludable
184,Débora,4570.69,20.81,Media,Saludable
185,Adelina,2402.8,25.07,Media,En observacion
186,Benigna,3809.94,20.98,Media,Saludable
187,José,4360.28,19.09,Baja,En observacion
188,Carolina,3443.2,20.12,Baja,En observacion
189,Rosalinda,3353.78,21.69,Media,Saludable
190,Aitor,2346.48,23.81,Media,En observacion
191,Irma,1825.86,29.65,Baja,En riesgo
192,Lorena,4640.26,17.3,Media,Saludable
193,Darío,4651.46,17.66,Media,Saludable
194,Isabel,3715.86,21.78,Media,Saludable
195,Sonia,2686.6,23.97,Baja,En observacion
196,Brunilda,2722.23,22.4,Media,En observacion
197,Maricela,4040.84,20.61,Media,Saludable
198,Juanito,4639.89,17.85,Media,Saludable
199,María José,4604.8,17.88,Baja,En observacion
200,Felipa,4229.56,18.5,Media,Saludable
201,Noé,3747.11,19.52,Media,Saludable
202,Dani,1794.49,29.48,Media,En riesgo
203,Lázaro,2065.7,25.89,Media,En observacion
204,Trinidad,4644.94,16.94,Baja,En observacion
205,Fausto,3622.5,20.26,Media,Saludable
206,Wilfredo,1532.19,33.2,Media,En riesgo
207,Abraham,1855.15,29.02,Media,En riesgo
208,Lorenza,3822.26,19.98,Media,Saludable
209,Sara,1517.72,33.24,Media,En riesgo
210,Loida,2062.83,25.55,Media,En observacion
211,Juan José,3420.57,20.32,Baja,En observacion
212,Angelita,3921.63,21.44,Baja,En observacion
213,María Belén,3781.86,20.25,Media,Saludable
214,Gaspar,2284.94,26.52,Media,En riesgo
215,Anunciación,3992.63,20.55,Media,Saludable
216,Ximena,2330.37,25.62,Media,En observacion
217,Curro,2638.9,24.02,Media,En observacion
218,Sabina,4112.72,21.18,Media,Saludable
219,Eufemia,3773.72,20.18,Media,Saludable
220,Marc,4472.28,18.39,Media,Saludable
221,Prudencia,3801.65,21.27,Baja,En observacion
222,Feliciana,3489.08,21.42,Baja,En observacion
223,Anunciación,1827.86,29.55,Baja,En riesgo
224,Emelina,2787.01,24.11,Baja,En observacion
225,Heliodoro,2428.21,25.76,Baja,En observacion
226,Ezequiel,2353.96,26.56,Media,En riesgo
227,Raúl,4905.54,18.12,Media,Saludable
228,María Belén,2875.84,23.41,Baja,En observacion
229,Felix,4622.16,19.2,Media,Saludable
230,Calista,3708.99,19.87,Media,Saludable
231,Melania,4281.84,18.81,Baja,En observacion
232,Ágata,3259.23,20.77,Baja,En observacion
233,Bernarda,3519.16,21.42,Baja,En observacion
234,Zaida,3223.81,23.42,Media,En observacion
235,Aarón,2183.35,27.13,Media,En riesgo
236,Elena,4028.58,17.53,Baja,En observacion
237,Moisés,2482.7,24.24,Baja,En observacion
238,Amaya,1585.11,29.56,Baja,En riesgo
239,Alejo,3759.15,18.61,Media,Saludable
240,Dani,2119.89,26.26,Baja,En riesgo
241,Úrsula,4791.61,20.99,Baja,En observacion
242,Primitivo,4838.75,16.71,Media,Saludable
243,Selena,4702.03,17.29,Media,Saludable
244,Paz,2795.56,22.38,Media,En observacion
245,Noemí,1554.1,31.42,Media,En riesgo
246,Marino,4749.11,18.08,Baja,En observacion
247,Jose,2998.64,22.56,Baja,En observacion
248,Bautista,4883.29,18.91,Baja,En observacion
249,Jose Angel,4872.67,18.6,Media,Saludable
250,Selena,4485.53,16.86,Media,Saludable
251,Claudia,2530.57,27.15,Baja,En riesgo
252,Cayetano,2847.84,21.68,Baja,En observacion
253,Che,4478.98,18.34,Media,Saludable
254,Lupita,2609.23,24.57,Media,En observacion
255,Amalia,2093.22,26.94,Media,En riesgo
256,Olalla,3448.8,20.02,Media,Saludable
257,Bruno,4776.54,19.47,Media,Saludable
258,Martirio,3936.1,19.54,Baja,En observacion
259,Berta,3495.21,19.6,Media,Saludable
260,María Dolores,1840.12,27.48,Baja,En riesgo
261,Edgardo,3652.53,21.63,Media,Saludable
262,Eduardo,4965.19,18.99,Media,Saludable
263,Georgina,1990.29,26.66,Media,En riesgo
264,Aitana,3314.15,21.92,Baja,En observacion
265,Carmela,4570.81,18.74,Baja,En observacion
266,Fito,4092.69,20.52,Media,Saludable
267,Juan Manuel,3939.56,21.08,Baja,En observacion
268,Belén,3958.69,20.82,Media,Saludable
269,Salud,2758.22,22.45,Media,En observacion
270,Elvira,2527.57,23.24,Media,En observacion
271,Teo,4332.76,20.31,Media,Saludable
272,Héctor,4335.4,19.46,Baja,En observacion
273,Úrsula,4534.75,20.5,Baja,En observacion
274,Calista,4696.34,18.31,Baja,En observacion
275,Marisol,3289.7,19.41,Media,Saludable
276,Luna,3255.31,21.61,Baja,En observacion
277,Jenny,4294.03,18.0,Media,Saludable
278,Herberto,3774.87,19.92,Baja,En observacion
279,Leyre,3956.88,19.11,Media,Saludable
280,Mateo,4285.27,18.13,Media,Saludable
281,Sabas,4615.02,19.66,Baja,En observacion
282,Hilda,2682.98,25.82,Media,En observacion
283,Florentina,2814.54,24.81,Media,En observacion
284,Raúl,1828.94,31.13,Media,En riesgo
285,Urbano,3523.98,20.91,Media,Saludable
286,Trinidad,1625.8,30.46,Baja,En riesgo
287,Asunción,3129.59,22.18,Media,En observacion
288,Vito,3399.26,20.88,Media,Saludable
289,Dionisio,2502.89,26.63,Media,En riesgo
290,Jose Miguel,3567.92,22.33,Media,En observacion
291,Jafet,1606.75,30.48,Media,En riesgo
292,Bernardo,1630.72,27.29,Baja,En riesgo
293,Nilo,4379.1,17.42,Media,Saludable
294,Alfonso,2760.67,20.11,Media,Saludable
295,Dionisia,1944.71,28.54,Baja,En riesgo
296,Casandra,3327.85,21.11,Media,Saludable
297,Jeremías,4194.98,20.83,Baja,En observacion
298,Dionisia,2255.37,23.19,Baja,En observacion
299,Isidro,3680.12,21.83,Media,Saludable
300,Adrián,1798.72,28.67,Baja,En riesgo
301,Calisto,1680.89,31.1,Media,En riesgo
302,Laura,3359.74,21.19,Media,Saludable
303,Evangelina,3392.22,19.39,Baja,En observacion
304,Benigno,3731.0,19.01,Media,Saludable
305,Jenaro,4041.32,19.12,Media,Saludable
306,Borja,4915.48,18.01,Media,Saludable
307,Vicenta,3307.05,21.92,Media,Saludable
308,Amílcar,2630.35,21.75,Media,Saludable
309,Rosalina,4283.15,18.97,Media,Saludable
310,Natalio,2447.91,23.55,Baja,En observacion
311,Calisto,3036.4,22.76,Baja,En observacion
312,Aroa,1774.6,27.2,Baja,En riesgo
313,Jordán,1588.73,30.77,Media,En riesgo
314,León,4869.27,19.77,Baja,En observacion
315,Haydée,4425.93,18.96,Media,Saludable
316,Amalia,3935.91,18.29,Baja,En observacion
317,Iker,2931.34,21.79,Media,Saludable
318,Calista,2106.53,25.87,Media,En observacion
319,Eligio,2047.53,28.69,Baja,En riesgo
320,Loreto,2375.85,26.91,Media,En riesgo
321,Sofía,3422.29,23.02,Media,En observacion
322,Concepción,4001.09,19.34,Baja,En observacion
323,Corona,3810.69,19.23,Baja,En observacion
324,Ainara,2479.77,23.75,Media,En observacion
325,Jose Carlos,4842.03,18.6,Media,Saludable
326,Milagros,4082.64,19.71,Baja,En observacion
327,Ainara,3440.24,23.3,Baja,En observacion
328,Noemí,3641.02,20.35,Baja,En observacion
329,Santos,2968.6,22.39,Media,En observacion
330,Goyo,2367.06,25.67,Media,En observacion
331,Ciríaco,2745.9,22.29,Media,En observacion
332,Cleto,4152.46,21.23,Baja,En observacion
333,Genoveva,1550.38,31.13,Media,En riesgo
334,Tomás,1906.25,27.16,Media,En riesgo
335,Paulino,1661.01,30.19,Baja,En riesgo
336,Teo,1642.55,31.73,Media,En riesgo
337,Segismundo,4494.11,19.01,Baja,En observacion
338,Adelia,3962.8,20.87,Media,Saludable
339,Rosario,3159.61,22.42,Baja,En observacion
340,Luisina,1842.42,30.03,Baja,En riesgo
341,Baltasar,3220.66,23.59,Media,En observacion
342,Ignacia,3157.15,21.78,Baja,En observacion
343,Francisca,2106.21,28.63,Baja,En riesgo
344,Flavia,3018.48,21.23,Media,Saludable
345,Clímaco,2894.77,20.59,Media,Saludable
346,Benjamín,3655.48,21.43,Media,Saludable
347,Samuel,3722.83,21.53,Baja,En observacion
348,Luisa,1658.56,31.27,Media,En riesgo
349,Norberto,2811.14,24.36,Media,En observacion
350,Nereida,3690.51,19.31,Baja,En observacion
351,Rosalva,3260.98,20.52,Media,Saludable
352,César,4497.71,19.5,Media,Saludable
353,Jose Ramón,3805.43,18.47,Media,Saludable
354,Gregorio,2070.27,26.57,Baja,En riesgo
355,Goyo,1746.99,29.27,Media,En riesgo
356,Brunilda,3748.47,19.87,Media,Saludable
357,Vidal,1592.79,30.36,Media,En riesgo
358,Enrique,3550.21,19.12,Media,Saludable
359,Telmo,4790.81,20.02,Baja,En observacion
360,Gervasio,3514.16,20.97,Media,Saludable
361,León,2858.59,22.95,Media,En observacion
362,Óscar,3751.51,20.25,Baja,En observacion
363,Josep,3103.89,20.86,Media,Saludable
364,Sandra,3409.66,21.33,Baja,En observacion
365,Águeda,4795.13,18.44,Media,Saludable
366,Carlos,2851.36,24.04,Media,En observacion
367,Venceslás,4864.17,19.71,Media,Saludable
368,Nuria,4668.73,17.96,Media,Saludable
369,Rosalva,2185.27,26.51,Media,En riesgo
370,Roberta,1742.76,30.55,Baja,En riesgo
371,Carmelita,1852.72,29.01,Baja,En riesgo
372,Clímaco,1563.78,30.35,Media,En riesgo
373,Aureliano,1830.55,27.94,Baja,En riesgo
374,Florinda,3890.52,20.55,Media,Saludable
375,Calixta,1749.16,28.2,Media,En riesgo
376,Piedad,2616.41,23.61,Media,En observacion
377,Albino,4457.06,19.51,Media,Saludable
378,Ciro,1581.45,33.56,Media,En riesgo
379,Ángeles,4350.64,19.04,Media,Saludable
380,Marisa,2486.49,24.3,Baja,En observacion
381,Reina,1913.58,30.55,Media,En riesgo
382,Jordi,3938.58,19.78,Media,Saludable
383,Flavio,3701.3,19.1,Media,Saludable
384,Santos,4571.15,17.27,Baja,En observacion
385,Amalia,4072.75,19.75,Media,Saludable
386,Alicia,4312.18,18.31,Media,Saludable
387,Ignacio,2487.12,23.73,Baja,En observacion
388,Rosaura,2121.04,26.26,Media,En riesgo
389,Salvador,4127.15,23.12,Baja,En observacion
390,Vanesa,4323.92,18.85,Media,Saludable
391,Benigno,4966.77,17.98,Baja,En observacion
392,Fidel,2944.16,23.24,Baja,En observacion
393,Reynaldo,2802.06,23.37,Media,En observacion
394,Abilio,4217.45,20.83,Media,Saludable
395,Rosario,2692.81,24.22,Baja,En observacion
396,Juan Manuel,4757.65,18.46,Media,Saludable
397,Ángeles,4504.44,19.92,Media,Saludable
398,Miguela,3001.48,21.24,Baja,En observacion
399,Milagros,4128.05,19.65,Media,Saludable
400,Wálter,4140.9,18.92,Baja,En observacion
401,Lucho,1860.93,29.61,Baja,En riesgo
402,Teo,4658.94,19.36,Media,Saludable
403,Josefina,3268.38,21.14,Media,Saludable
404,Lupe,4392.6,19.95,Media,Saludable
405,Miguela,2620.17,22.74,Media,En observacion
406,Cayetana,4634.33,17.23,Baja,En observacion
407,Gisela,2862.21,21.56,Media,Saludable
408,Lina,1537.93,32.56,Baja,En riesgo
409,Amanda,4668.84,19.66,Baja,En observacion
410,Fabián,1819.5,28.35,Media,En riesgo
411,Goyo,2617.6,23.37,Baja,En observacion
412,Manu,4825.22,17.43,Media,Saludable
413,Isaac,4827.13,18.41,Baja,En observacion
414,Bautista,3507.03,21.46,Baja,En observacion
415,Cruz,3711.43,20.17,Media,Saludable
416,Magdalena,3069.56,22.93,Media,En observacion
417,Candela,2526.24,24.0,Media,En observacion
418,Benjamín,2650.33,23.81,Media,En observacion
419,Mariana,3853.81,19.39,Baja,En observacion
420,Mauricio,4133.31,19.27,Media,Saludable
421,Baudelio,4270.53,19.43,Baja,En observacion
422,Aureliano,4263.66,19.13,Media,Saludable
423,Daniela,1819.22,28.52,Media,En riesgo
424,Albina,3230.47,21.15,Media,Saludable
425,Ani,1701.46,30.54,Media,En riesgo
426,Zaira,3423.35,20.1,Baja,En observacion
427,Reyna,3045.36,21.78,Media,Saludable
428,Bernarda,4606.96,18.37,Baja,En observacion
429,Fausto,2728.2,22.22,Baja,En observacion
430,Baudelio,1909.73,29.19,Media,En riesgo
431,Apolonia,2000.47,29.28,Media,En riesgo
432,Cecilio,4165.29,20.4,Media,Saludable
433,Renata,3663.76,20.99,Media,Saludable
434,Gilberto,1853.93,28.49,Media,En riesgo
435,Bruno,1794.37,27.05,Media,En riesgo
436,Dulce,3953.39,20.9,Baja,En observacion
437,Borja,1754.67,30.9,Media,En riesgo
438,Imelda,4376.51,17.84,Baja,En observacion
439,Rosalva,3971.85,20.91,Media,Saludable
440,Joel,1784.72,30.41,Media,En riesgo
441,Sancho,1796.93,32.03,Media,En riesgo
442,Dimas,4953.24,19.72,Media,Saludable
443,Tania,2809.95,25.45,Media,En observacion
444,Clotilde,2797.25,22.03,Baja,En observacion
445,Jose Manuel,4344.8,19.15,Media,Saludable
446,Cristina,4815.37,18.33,Baja,En observacion
447,Dorotea,4951.0,18.5,Baja,En observacion
448,Aníbal,4136.82,18.83,Media,Saludable
449,Estefanía,2816.91,22.94,Media,En observacion
450,Ceferino,1792.25,27.78,Media,En riesgo
451,Simón,4220.01,19.57,Baja,En observacion
452,Gema,3454.41,22.39,Baja,En observacion
453,Dalila,2984.78,20.73,Media,Saludable
454,Clara,4672.24,18.8,Media,Saludable
455,Azeneth,1889.19,26.71,Baja,En riesgo
456,Maximiano,3224.19,21.07,Baja,En observacion
457,Juan Carlos,1539.74,31.44,Baja,En riesgo
458,Hernando,3140.31,22.97,Media,En observacion
459,Haydée,1697.06,28.57,Media,En riesgo
460,Lilia,1915.86,28.93,Media,En riesgo
461,Mauricio,1911.34,27.08,Baja,En riesgo
462,Jorge,3772.24,20.28,Media,Saludable
463,Juan Manuel,4111.16,19.82,Media,Saludable
464,Ruy,3541.79,20.45,Media,Saludable
465,Eleuterio,4867.6,19.64,Media,Saludable
466,Hilda,2812.05,23.53,Media,En observacion
467,Filomena,2499.99,23.09,Baja,En observacion
468,Marcelo,4540.1,19.72,Media,Saludable
469,Zacarías,2282.59,26.53,Media,En riesgo
470,Maximiano,4871.28,19.52,Media,Saludable
471,Úrsula,1542.54,31.37,Media,En riesgo
472,Maricruz,4894.58,18.47,Media,Saludable
473,Camilo,1651.06,31.78,Baja,En riesgo
474,Agapito,4619.0,19.63,Media,Saludable
475,Álvaro,3346.95,19.86,Baja,En observacion
476,Ester,4975.38,19.63,Media,Saludable
477,Chus,1758.29,29.4,Baja,En riesgo
478,Cornelio,3438.49,20.84,Baja,En observacion
479,Candelario,4892.56,19.01,Media,Saludable
480,Brígida,3330.84,21.4,Media,Saludable
481,Ignacio,3702.9,21.15,Media,Saludable
482,Antonia,3935.12,20.59,Media,Saludable
483,Juan Manuel,3090.89,22.56,Media,En observacion
484,Eligio,3696.45,21.51,Baja,En observacion
485,Paco,3545.1,22.34,Baja,En observacion
486,Socorro,4654.05,17.01,Media,Saludable
487,Bruno,1659.06,31.5,Media,En riesgo
488,Serafina,2483.37,24.67,Media,En observacion
489,Jose Ignacio,4826.44,17.53,Baja,En observacion
490,Rafael,4615.92,17.17,Media,Saludable
491,Lucas,3094.8,22.47,Media,En observacion
492,Fausto,3670.46,21.17,Baja,En observacion
493,Urbano,2470.83,24.74,Media,En observacion
494,Perla,2158.42,27.43,Baja,En riesgo
495,Candelaria,3122.94,21.52,Media,Saludable
496,Juliana,2736.73,25.62,Baja,En observacion
497,Marciano,3542.8,20.27,Media,Saludable
498,Emma,1772.07,29.46,Media,En riesgo
499,Noemí,4910.38,18.23,Baja,En observacion
500,Francisca,4951.74,19.92,Media,Saludable
501,Benigna,3943.57,20.27,Baja,En observacion
502,Adán,3376.34,20.23,Baja,En observacion
503,Guadalupe,2583.35,22.56,Media,En observacion
504,Olga,4348.28,19.4,Media,Saludable
505,Casandra,3896.56,20.32,Media,Saludable
506,Marcelino,2069.16,26.0,Media,En observacion
507,Gracia,4688.25,20.34,Baja,En observacion
508,Cristóbal,4378.88,19.66,Baja,En observacion
509,Selena,4824.3,19.45,Media,Saludable
510,Eloy,4040.02,19.75,Media,Saludable
511,Juan Luis,3646.95,20.94,Media,Saludable
512,David,2963.85,22.25,Media,En observacion
513,Tania,4764.55,19.56,Baja,En observacion
514,Custodio,4531.22,19.23,Media,Saludable
515,Manuelita,1658.27,32.93,Media,En riesgo
516,Carolina,1592.28,32.36,Media,En riesgo
517,Fabricio,2817.62,22.08,Media,En observacion
518,Lalo,4336.94,20.25,Baja,En observacion
519,Lope,4955.47,18.68,Media,Saludable
520,Elodia,2026.46,26.28,Media,En riesgo
521,Humberto,3579.46,20.77,Media,Saludable
522,Liliana,2833.12,23.49,Media,En observacion
523,Olegario,4894.7,18.66,Media,Saludable
524,Herminio,4447.42,19.67,Baja,En observacion
525,Jacinta,4434.15,18.7,Baja,En observacion
526,Fabiana,3140.43,22.55,Baja,En observacion
527,Reyna,2951.87,24.13,Baja,En observacion
528,Juan Luis,2456.92,24.39,Baja,En observacion
529,Anselma,1697.31,31.81,Media,En riesgo
530,Amaya,4526.53,19.32,Media,Saludable
531,José,4345.15,19.42,Media,Saludable
532,Vicenta,4999.01,19.92,Media,Saludable
533,Vilma,4988.23,17.53,Media,Saludable
534,Raquel,3444.01,21.8,Media,Saludable
535,Aurelio,4191.46,20.19,Baja,En observacion
536,Cirino,4806.68,17.82,Baja,En observacion
537,Fabiana,4473.77,18.91,Media,Saludable
538,Teo,2365.72,24.39,Media,En observacion
539,Paula,3076.9,22.18,Baja,En observacion
540,Leonel,1952.06,30.3,Media,En riesgo
541,Arsenio,4839.18,19.66,Media,Saludable
542,Abraham,3621.61,21.55,Media,Saludable
543,Nazario,2300.25,22.66,Baja,En observacion
544,María Manuela,3850.95,20.56,Media,Saludable
545,Eladio,3663.45,22.75,Media,En observacion
546,Febe,2753.57,21.9,Media,Saludable
547,Juan Francisco,1897.45,28.02,Baja,En riesgo
548,Felix,3850.51,19.05,Baja,En observacion
549,Manuela,3321.08,21.92,Baja,En observacion
550,Vasco,4203.11,18.01,Media,Saludable
551,Carmen,3320.57,20.86,Media,Saludable
552,Julieta,4482.64,18.52,Baja,En observacion
553,Teófilo,3431.67,21.52,Media,Saludable
554,Chelo,3463.28,20.59,Baja,En observacion
555,Agapito,4568.29,19.0,Media,Saludable
556,Dani,2912.19,22.94,Media,En observacion
557,Carlos,1969.05,27.11,Baja,En riesgo
558,Sol,1600.74,31.64,Media,En riesgo
559,Jessica,4142.98,19.64,Baja,En observacion
560,Vera,3671.08,19.46,Media,Saludable
