id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero,split
259,Berta,3495.21,20.52,Media,Saludable,val
260,María Dolores,1840.12,28.89,Baja,En riesgo,train
261,Edgardo,3652.53,21.36,Media,Saludable,train
262,Eduardo,4965.19,16.99,Baja,En observacion,train
263,Georgina,1990.29,27.77,Baja,En riesgo,train
264,Aitana,3314.15,19.3,Baja,En observacion,val
265,Carmela,4570.81,18.7,Baja,En observacion,train
266,Fito,4092.69,19.26,Media,Saludable,train
267,Juan Manuel,3939.56,19.46,Media,Saludable,train
268,Belén,3958.69,19.0,Media,Saludable,test
269,Salud,2758.22,23.85,Media,En observacion,train
270,Elvira,2527.57,23.6,Media,En observacion,train
271,Teo,4332.76,17.92,Media,Saludable,train
272,Héctor,4335.4,19.26,Baja,En observacion,val
273,Úrsula,4534.75,18.55,Baja,En observacion,train
274,Calista,4696.34,18.19,Media,Saludable,train
275,Marisol,3289.7,18.78,Media,Saludable,test
276,Luna,3255.31,18.59,Baja,En observacion,test
277,Jenny,4294.03,18.55,Media,Saludable,test
278,Herberto,3774.87,21.0,Baja,En observacion,train
279,Leyre,3956.88,18.61,Media,Saludable,train
280,Mateo,4285.27,15.38,Media,Saludable,val
281,Sabas,4615.02,18.23,Media,Saludable,val
282,Hilda,2682.98,25.07,Media,En observacion,train
283,Florentina,2814.54,21.12,Media,Saludable,train
284,Raúl,1828.94,29.14,Media,En riesgo,train
285,Urbano,3523.98,17.17,Media,Saludable,test
286,Trinidad,1625.8,26.23,Media,En riesgo,val
287,Asunción,3129.59,18.65,Media,Saludable,test
288,Vito,3399.26,20.31,Media,Saludable,train
289,Dionisio,2502.89,23.29,Media,En observacion,test
290,Jose Miguel,3567.92,20.8,Baja,En observacion,val
291,Jafet,1606.75,28.81,Media,En riesgo,train
292,Bernardo,1630.72,27.76,Baja,En riesgo,test
293,Nilo,4379.1,17.68,Media,Saludable,test
294,Alfonso,2760.67,23.16,Media,En observacion,train
295,Dionisia,1944.71,25.97,Baja,En observacion,train
296,Casandra,3327.85,21.26,Media,Saludable,test
297,Jeremías,4194.98,17.53,Baja,En observacion,train
298,Dionisia,2255.37,23.83,Baja,En observacion,test
299,Isidro,3680.12,18.81,Baja,En observacion,train
300,Adrián,1798.72,29.69,Baja,En riesgo,train
301,Calisto,1680.89,28.43,Media,En riesgo,train
302,Laura,3359.74,19.27,Media,Saludable,train
303,Evangelina,3392.22,19.0,Baja,En observacion,val
304,Benigno,3731.0,19.82,Media,Saludable,train
305,Jenaro,4041.32,19.4,Media,Saludable,train
306,Borja,4915.48,17.22,Media,Saludable,val
307,Vicenta,3307.05,20.19,Media,Saludable,test
308,Amílcar,2630.35,25.72,Media,En observacion,train
309,Rosalina,4283.15,18.82,Media,Saludable,train
310,Natalio,2447.91,24.02,Baja,En observacion,train
311,Calisto,3036.4,22.07,Media,En observacion,train
312,Aroa,1774.6,28.7,Baja,En riesgo,train
313,Jordán,1588.73,29.54,Media,En riesgo,train
314,León,4869.27,20.41,Baja,En observacion,val
315,Haydée,4425.93,20.32,Media,Saludable,train
316,Amalia,3935.91,17.74,Baja,En observacion,val
317,Iker,2931.34,22.85,Media,En observacion,val
318,Calista,2106.53,24.16,Media,En observacion,train
319,Eligio,2047.53,27.86,Baja,En riesgo,test
320,Loreto,2375.85,26.41,Media,En riesgo,train
321,Sofía,3422.29,22.28,Media,En observacion,train
322,Concepción,4001.09,20.03,Baja,En observacion,train
323,Corona,3810.69,18.59,Baja,En observacion,train
324,Ainara,2479.77,24.45,Media,En observacion,train
325,Jose Carlos,4842.03,17.35,Media,Saludable,train
326,Milagros,4082.64,20.74,Baja,En observacion,train
327,Ainara,3440.24,21.05,Baja,En observacion,train
328,Noemí,3641.02,20.37,Baja,En observacion,val
329,Santos,2968.6,19.96,Baja,En observacion,val
330,Goyo,2367.06,25.29,Media,En observacion,val
331,Ciríaco,2745.9,24.19,Media,En observacion,val
332,Cleto,4152.46,18.18,Baja,En observacion,train
333,Genoveva,1550.38,33.98,Media,En riesgo,val
334,Tomás,1906.25,25.17,Media,En observacion,val
335,Paulino,1661.01,28.66,Baja,En riesgo,train
336,Teo,1642.55,27.58,Media,En riesgo,val
337,Segismundo,4494.11,19.14,Baja,En observacion,val
338,Adelia,3962.8,18.57,Media,Saludable,val
339,Rosario,3159.61,21.7,Baja,En observacion,val
340,Luisina,1842.42,30.41,Baja,En riesgo,val
341,Baltasar,3220.66,19.99,Media,Saludable,train
342,Ignacia,3157.15,20.95,Baja,En observacion,test
343,Francisca,2106.21,27.89,Media,En riesgo,train
344,Flavia,3018.48,20.41,Media,Saludable,test
345,Clímaco,2894.77,23.95,Media,En observacion,val
346,Benjamín,3655.48,19.77,Media,Saludable,train
347,Samuel,3722.83,19.31,Baja,En observacion,test
348,Luisa,1658.56,25.75,Media,En observacion,val
349,Norberto,2811.14,20.69,Baja,En observacion,test
350,Nereida,3690.51,21.11,Baja,En observacion,val
351,Rosalva,3260.98,20.94,Baja,En observacion,test
352,César,4497.71,16.63,Media,Saludable,train
353,Jose Ramón,3805.43,19.99,Media,Saludable,train
354,Gregorio,2070.27,28.65,Baja,En riesgo,train
355,Goyo,1746.99,28.69,Media,En riesgo,val
356,Brunilda,3748.47,18.64,Media,Saludable,test
357,Vidal,1592.79,30.16,Media,En riesgo,val
358,Enrique,3550.21,19.74,Media,Saludable,train
359,Telmo,4790.81,19.52,Baja,En observacion,train
360,Gervasio,3514.16,19.29,Media,Saludable,test
361,León,2858.59,22.81,Media,En observacion,train
362,Óscar,3751.51,20.76,Baja,En observacion,train
363,Josep,3103.89,22.0,Media,Saludable,train
364,Sandra,3409.66,19.93,Baja,En observacion,train
365,Águeda,4795.13,16.11,Media,Saludable,train
366,Carlos,2851.36,21.31,Baja,En observacion,train
367,Venceslás,4864.17,18.09,Media,Saludable,train
368,Nuria,4668.73,16.97,Media,Saludable,test
369,Rosalva,2185.27,25.17,Media,En observacion,train
370,Roberta,1742.76,30.75,Baja,En riesgo,val
371,Carmelita,1852.72,27.32,Baja,En riesgo,val
372,Clímaco,1563.78,29.8,Media,En riesgo,train
373,Aureliano,1830.55,27.57,Baja,En riesgo,train
374,Florinda,3890.52,17.23,Media,Saludable,train
375,Calixta,1749.16,28.96,Media,En riesgo,val
376,Piedad,2616.41,20.34,Media,Saludable,train
377,Albino,4457.06,19.82,Media,Saludable,train
378,Ciro,1581.45,33.02,Media,En riesgo,val
379,Ángeles,4350.64,20.83,Media,Saludable,val
380,Marisa,2486.49,25.18,Baja,En observacion,test
381,Reina,1913.58,28.96,Media,En riesgo,val
382,Jordi,3938.58,18.07,Media,Saludable,val
383,Flavio,3701.3,20.23,Media,Saludable,train
384,Santos,4571.15,19.69,Baja,En observacion,train
385,Amalia,4072.75,19.67,Media,Saludable,train
386,Alicia,4312.18,18.21,Media,Saludable,test
387,Ignacio,2487.12,22.96,Baja,En observacion,test
388,Rosaura,2121.04,26.32,Media,En riesgo,train
389,Salvador,4127.15,20.05,Baja,En observacion,val
390,Vanesa,4323.92,18.17,Media,Saludable,test
391,Benigno,4966.77,19.2,Baja,En observacion,train
392,Fidel,2944.16,21.12,Baja,En observacion,train
393,Reynaldo,2802.06,24.02,Media,En observacion,test
394,Abilio,4217.45,18.67,Media,Saludable,train
395,Rosario,2692.81,22.81,Baja,En observacion,val
396,Juan Manuel,4757.65,16.53,Media,Saludable,val
397,Ángeles,4504.44,18.18,Media,Saludable,train
398,Miguela,3001.48,21.51,Baja,En observacion,test
399,Milagros,4128.05,19.71,Media,Saludable,train
400,Wálter,4140.9,21.12,Media,Saludable,train
401,Lucho,1860.93,28.01,Baja,En riesgo,train
402,Teo,4658.94,19.9,Media,Saludable,train
403,Josefina,3268.38,20.2,Media,Saludable,val
404,Lupe,4392.6,17.3,Media,Saludable,test
405,Miguela,2620.17,22.76,Media,En observacion,test
406,Cayetana,4634.33,18.21,Baja,En observacion,train
407,Gisela,2862.21,20.58,Media,Saludable,val
408,Lina,1537.93,27.78,Media,En riesgo,test
409,Amanda,4668.84,18.72,Baja,En observacion,train
410,Fabián,1819.5,25.0,Media,En observacion,test
411,Goyo,2617.6,23.34,Baja,En observacion,train
412,Manu,4825.22,16.11,Media,Saludable,train
413,Isaac,4827.13,18.58,Media,Saludable,train
414,Bautista,3507.03,22.27,Baja,En observacion,train
415,Cruz,3711.43,19.68,Media,Saludable,train
416,Magdalena,3069.56,23.07,Media,En observacion,val
417,Candela,2526.24,25.35,Media,En observacion,train
418,Benjamín,2650.33,23.65,Media,En observacion,train
419,Mariana,3853.81,20.12,Baja,En observacion,train
420,Mauricio,4133.31,18.98,Media,Saludable,test
421,Baudelio,4270.53,17.69,Baja,En observacion,train
422,Aureliano,4263.66,19.29,Media,Saludable,train
423,Daniela,1819.22,29.22,Media,En riesgo,train
424,Albina,3230.47,21.67,Media,Saludable,train
425,Ani,1701.46,28.76,Media,En riesgo,train
426,Zaira,3423.35,21.25,Baja,En observacion,train
427,Reyna,3045.36,22.34,Media,En observacion,test
428,Bernarda,4606.96,19.21,Baja,En observacion,train
429,Fausto,2728.2,23.66,Baja,En observacion,train
430,Baudelio,1909.73,28.4,Media,En riesgo,train
431,Apolonia,2000.47,26.14,Media,En riesgo,train
432,Cecilio,4165.29,19.58,Media,Saludable,train
433,Renata,3663.76,17.04,Media,Saludable,train
434,Gilberto,1853.93,27.71,Baja,En riesgo,train
435,Bruno,1794.37,27.39,Media,En riesgo,test
436,Dulce,3953.39,19.36,Baja,En observacion,train
437,Borja,1754.67,27.2,Media,En riesgo,train
438,Imelda,4376.51,17.78,Baja,En observacion,val
439,Rosalva,3971.85,18.5,Media,Saludable,val
440,Joel,1784.72,26.79,Media,En riesgo,test
441,Sancho,1796.93,30.74,Media,En riesgo,train
442,Dimas,4953.24,15.06,Media,Saludable,train
443,Tania,2809.95,22.63,Media,En observacion,test
444,Clotilde,2797.25,23.04,Baja,En observacion,train
445,Jose Manuel,4344.8,17.99,Media,Saludable,train
446,Cristina,4815.37,19.11,Baja,En observacion,test
447,Dorotea,4951.0,18.28,Baja,En observacion,test
448,Aníbal,4136.82,20.76,Media,Saludable,val
449,Estefanía,2816.91,20.76,Media,Saludable,test
450,Ceferino,1792.25,26.4,Media,En riesgo,train
451,Simón,4220.01,17.07,Baja,En observacion,test
452,Gema,3454.41,19.57,Baja,En observacion,test
453,Dalila,2984.78,21.33,Media,Saludable,train
454,Clara,4672.24,19.5,Media,Saludable,val
455,Azeneth,1889.19,28.83,Baja,En riesgo,train
456,Maximiano,3224.19,19.31,Baja,En observacion,train
457,Juan Carlos,1539.74,31.74,Baja,En riesgo,test
458,Hernando,3140.31,22.42,Media,En observacion,train
459,Haydée,1697.06,30.11,Media,En riesgo,train
460,Lilia,1915.86,27.34,Baja,En riesgo,test
461,Mauricio,1911.34,24.39,Baja,En observacion,train
462,Jorge,3772.24,20.08,Media,Saludable,val
463,Juan Manuel,4111.16,19.38,Media,Saludable,train
464,Ruy,3541.79,19.77,Media,Saludable,train
465,Eleuterio,4867.6,18.04,Media,Saludable,train
466,Hilda,2812.05,21.47,Media,Saludable,train
467,Filomena,2499.99,25.41,Baja,En observacion,val
468,Marcelo,4540.1,19.06,Media,Saludable,test
469,Zacarías,2282.59,24.39,Media,En observacion,test
470,Maximiano,4871.28,18.27,Media,Saludable,train
471,Úrsula,1542.54,29.15,Media,En riesgo,train
472,Maricruz,4894.58,20.05,Media,Saludable,train
473,Camilo,1651.06,31.24,Baja,En riesgo,train
474,Agapito,4619.0,17.56,Media,Saludable,test
475,Álvaro,3346.95,21.18,Baja,En observacion,train
476,Ester,4975.38,17.12,Media,Saludable,train
477,Chus,1758.29,26.44,Baja,En riesgo,test
478,Cornelio,3438.49,23.09,Baja,En observacion,test
479,Candelario,4892.56,16.86,Media,Saludable,train
480,Brígida,3330.84,21.67,Baja,En observacion,test
481,Ignacio,3702.9,18.13,Media,Saludable,train
482,Antonia,3935.12,18.15,Baja,En observacion,train
483,Juan Manuel,3090.89,24.05,Media,En observacion,train
484,Eligio,3696.45,19.91,Baja,En observacion,test
485,Paco,3545.1,19.14,Baja,En observacion,val
486,Socorro,4654.05,17.69,Media,Saludable,test
487,Bruno,1659.06,24.47,Media,En observacion,train
488,Serafina,2483.37,22.49,Media,En observacion,train
489,Jose Ignacio,4826.44,19.96,Media,Saludable,test
490,Rafael,4615.92,18.31,Media,Saludable,val
491,Lucas,3094.8,21.44,Media,Saludable,test
492,Fausto,3670.46,19.98,Baja,En observacion,train
493,Urbano,2470.83,23.33,Baja,En observacion,train
494,Perla,2158.42,26.13,Baja,En riesgo,test
495,Candelaria,3122.94,20.16,Media,Saludable,train
496,Juliana,2736.73,22.29,Baja,En observacion,val
497,Marciano,3542.8,18.29,Media,Saludable,train
498,Emma,1772.07,30.61,Media,En riesgo,train
499,Noemí,4910.38,18.24,Baja,En observacion,val
500,Francisca,4951.74,19.26,Media,Saludable,val
501,Benigna,3943.57,19.06,Baja,En observacion,val
502,Adán,3376.34,20.84,Media,Saludable,val
503,Guadalupe,2583.35,23.5,Media,En observacion,val
504,Olga,4348.28,19.57,Media,Saludable,train
505,Casandra,3896.56,19.17,Media,Saludable,train
506,Marcelino,2069.16,26.35,Media,En riesgo,train
507,Gracia,4688.25,16.83,Baja,En observacion,val
508,Cristóbal,4378.88,19.47,Baja,En observacion,test
509,Selena,4824.3,17.08,Media,Saludable,test
510,Eloy,4040.02,17.42,Media,Saludable,test
511,Juan Luis,3646.95,18.37,Media,Saludable,train
512,David,2963.85,22.29,Media,En observacion,train
513,Tania,4764.55,18.3,Baja,En observacion,train
514,Custodio,4531.22,19.24,Media,Saludable,test
515,Manuelita,1658.27,28.21,Baja,En riesgo,val
516,Carolina,1592.28,31.87,Media,En riesgo,train
517,Fabricio,2817.62,22.32,Media,En observacion,val
518,Lalo,4336.94,19.95,Baja,En observacion,train
519,Lope,4955.47,18.25,Baja,En observacion,train
